,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
0,2020-02-13,DE-BB,76.337444,1824290.33235,2403340.782011,3.4015730000000417,0.003355,2.777806,4.542822
1,2020-02-13,DE-BE,76.065297,1786373.222902,2408181.702797,3.6946330000000103,0.003523,4.671329,4.761509
2,2020-02-13,DE-BW,80.113988,1505759.748267,2290157.738271,3.077143000000035,0.008013,4.268546,4.467024
3,2020-02-13,DE-BY,81.554346,2363012.949942,2275361.322811,2.4330530000000294,0.005227,4.417797,3.677414
4,2020-02-13,DE-HB,87.167414,8389.755794,2406939.730769,3.0874520000000416,0.007715,1.794872,4.699573
5,2020-02-13,DE-HE,89.200446,307067.768686,2331353.181641,2.2039740000000165,0.005441,2.624676,4.398072
6,2020-02-13,DE-HH,86.685698,209488.601444,2404975.492424,2.5854760000000283,0.005799,3.242424,4.363794
7,2020-02-13,DE-MV,81.246496,2115141.10456,2407069.641877,3.205814000000032,0.002628,2.02164,4.910115
8,2020-02-13,DE-NI,87.179525,60634.84104,2391909.217105,2.721953000000042,0.007431,1.937668,4.307425
9,2020-02-13,DE-NW,85.525648,441980.954719,2361307.607674,3.606529000000023,0.007882,2.897228,4.687521
10,2020-02-13,DE-RP,89.927054,765036.315103,2326436.248215,2.9071969999999965,0.006326,3.712812,4.820924
11,2020-02-13,DE-SH,88.33687,523403.754369,2406366.352212,2.8394700000000057,0.004933,1.525916,4.786011
12,2020-02-13,DE-SL,88.784533,910951.307065,2330070.100543,3.3924410000000194,0.00758,4.013587,5.792912
13,2020-02-13,DE-SN,74.823272,1352189.138118,2340669.027059,2.699612000000002,0.002521,3.715195,5.085935
14,2020-02-13,DE-ST,80.708839,416147.902607,2385273.834958,2.935706000000039,0.004409,2.103347,4.396736
15,2020-02-13,DE-TH,83.149783,181806.461939,2317997.488225,2.0935080000000426,0.004016,3.009039,5.137631
54,2020-02-14,DE-BB,92.492247,340598.631015,2420690.100301,3.5882210000000327,0.000759,0.1647,2.010873
55,2020-02-14,DE-BE,93.206146,188050.736014,2425379.43007,3.819991000000016,0.000322,0.643357,2.29662
56,2020-02-14,DE-BW,82.431173,2213486.015542,2314397.042813,4.91130400000003,0.003422,3.935521,4.445492
57,2020-02-14,DE-BY,84.977489,2219763.883944,2294450.845539,4.262258000000031,0.004148,3.712586,4.504508
58,2020-02-14,DE-HB,85.483117,326439.63742,2435404.948718,5.436693000000048,0.000674,0.846154,3.129701
59,2020-02-14,DE-HE,84.294468,1847687.633522,2357898.899129,4.652352000000008,0.001361,2.631345,3.678115
60,2020-02-14,DE-HH,88.134403,421732.121686,2430409.664773,4.292865000000006,0.000558,1.454545,2.111648
