date,region_code,confirmed_addition,iso3166-2,population,cases_pc
2021-02-18,Blekinge,23,SE-K,159606,0.00014410485821335036
2021-02-17,Blekinge,30,SE-K,159606,0.00018796285853915265
2021-02-16,Blekinge,50,SE-K,159606,0.00031327143089858776
2021-02-15,Blekinge,3,SE-K,159606,1.8796285853915267e-05
2021-02-14,Blekinge,3,SE-K,159606,1.8796285853915267e-05
2021-02-13,Blekinge,23,SE-K,159606,0.00014410485821335036
2021-02-12,Blekinge,20,SE-K,159606,0.0001253085723594351
2021-02-11,Blekinge,26,SE-K,159606,0.00016290114406726565
2021-02-10,Blekinge,33,SE-K,159606,0.00020675914439306794
2021-02-09,Blekinge,42,SE-K,159606,0.00026314800195481375
2021-02-08,Blekinge,3,SE-K,159606,1.8796285853915267e-05
2021-02-07,Blekinge,3,SE-K,159606,1.8796285853915267e-05
2021-02-06,Blekinge,37,SE-K,159606,0.00023182085886495494
2021-02-05,Blekinge,23,SE-K,159606,0.00014410485821335036
2021-02-04,Blekinge,32,SE-K,159606,0.00020049371577509617
2021-02-03,Blekinge,26,SE-K,159606,0.00016290114406726565
2021-02-02,Blekinge,86,SE-K,159606,0.0005388268611455709
2021-02-01,Blekinge,4,SE-K,159606,2.506171447188702e-05
2021-01-31,Blekinge,2,SE-K,159606,1.253085723594351e-05
2021-01-30,Blekinge,29,SE-K,159606,0.0001816974299211809
2021-01-29,Blekinge,28,SE-K,159606,0.00017543200130320916
2021-01-28,Blekinge,49,SE-K,159606,0.00030700600228061604
2021-01-27,Blekinge,37,SE-K,159606,0.00023182085886495494
2021-01-26,Blekinge,68,SE-K,159606,0.00042604914602207937
2021-01-25,Blekinge,1,SE-K,159606,6.265428617971755e-06
2021-01-24,Blekinge,9,SE-K,159606,5.63888575617458e-05
2021-01-23,Blekinge,40,SE-K,159606,0.0002506171447188702
2021-01-22,Blekinge,52,SE-K,159606,0.0003258022881345313
2021-01-21,Blekinge,58,SE-K,159606,0.0003633948598423618
2021-01-20,Blekinge,61,SE-K,159606,0.0003821911456962771
2021-01-19,Blekinge,153,SE-K,159606,0.0009586105785496786
2021-01-18,Blekinge,6,SE-K,159606,3.7592571707830533e-05
2021-01-17,Blekinge,7,SE-K,159606,4.385800032580229e-05
2021-01-16,Blekinge,84,SE-K,159606,0.0005262960039096275
2021-01-15,Blekinge,69,SE-K,159606,0.00043231457464005114
2021-01-14,Blekinge,102,SE-K,159606,0.0006390737190331191
2021-01-13,Blekinge,114,SE-K,159606,0.0007142588624487801
2021-01-12,Blekinge,226,SE-K,159606,0.0014159868676616168
2021-01-11,Blekinge,20,SE-K,159606,0.0001253085723594351
2021-01-10,Blekinge,13,SE-K,159606,8.145057203363282e-05
2021-01-09,Blekinge,128,SE-K,159606,0.0008019748631003847
