date,iso3166-2,region_code,confirmed_addition,population,cases_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2021-02-18,SE-K,Blekinge,23,159606,0.00014410485821335036,91.9584,416938.515842,2424771.313121,-0.35174999999998136,0.000317,0.572565,4.13272
2021-02-17,SE-K,Blekinge,30,159606,0.00018796285853915265,93.411977,10771.382968,2414729.982604,-0.7908809999999562,0.011454,0.001988,4.702286
2021-02-16,SE-K,Blekinge,50,159606,0.00031327143089858776,84.177924,243298.624091,2422795.001491,-0.8654229999999643,0.000768,0.083499,2.609667
2021-02-15,SE-K,Blekinge,3,159606,1.8796285853915267e-05,82.13147,2248501.992669,2453096.588966,-4.71276499999999,5.5e-05,3.0,1.98615
2021-02-14,SE-K,Blekinge,3,159606,1.8796285853915267e-05,63.39401,5284755.474155,2467143.742545,-4.158822999999984,0.0,3.0,3.567992
2021-02-13,SE-K,Blekinge,23,159606,0.00014410485821335036,60.191426,5131439.662028,2468783.998012,-4.73405699999995,0.0,3.0,3.321811
2021-02-12,SE-K,Blekinge,20,159606,0.0001253085723594351,79.087682,4837177.100398,2465285.591948,-7.620799999999974,9e-06,3.0,3.140971
2021-02-11,SE-K,Blekinge,26,159606,0.00016290114406726565,80.018258,3032515.653579,2449248.170974,-7.796345999999971,0.000173,1.962227,4.230467
2021-02-10,SE-K,Blekinge,33,159606,0.00020675914439306794,82.749271,1225842.787152,2415348.47664,-5.346461999999974,0.0026,0.477137,5.225588
2021-02-09,SE-K,Blekinge,42,159606,0.00026314800195481375,77.294665,1131339.638171,2406622.900596,-4.610130999999967,0.002453,0.0,6.898816
2021-02-08,SE-K,Blekinge,3,159606,1.8796285853915267e-05,77.177674,1303847.892147,2416134.159543,-4.216154999999958,0.000663,0.0,6.366758
2021-02-07,SE-K,Blekinge,3,159606,1.8796285853915267e-05,80.380334,3013808.186879,2435051.491054,-6.745308999999963,0.000417,0.757455,4.944997
2021-02-06,SE-K,Blekinge,37,159606,0.00023182085886495494,84.187566,3521685.892147,2443774.505467,-8.331759999999974,7.7e-05,0.910537,4.119467
2021-02-05,SE-K,Blekinge,23,159606,0.00014410485821335036,85.76477,3588707.481113,2439415.968191,-9.717113999999981,2.5e-05,0.15507,2.726383
2021-02-04,SE-K,Blekinge,32,159606,0.00020049371577509617,85.685264,2761733.302684,2420639.685388,-6.305822999999975,5e-05,0.0,3.957248
2021-02-03,SE-K,Blekinge,26,159606,0.00016290114406726565,91.293186,627147.137177,2394237.770875,-3.4154909999999745,0.000705,0.0,4.537218
2021-02-02,SE-K,Blekinge,86,159606,0.0005388268611455709,92.480905,1192064.032555,2382320.01839,-2.0240819999999644,0.00093,0.0,2.059982
